Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Minimum Salary,Maximum Salary,Avg Salary,company_txt,job_city,age,python_yn,R_yn,spark_yn,aws_yn,excel_yn,tableau_yn
Nextracker - Data Scientist/Machine Learning Engineer,$79K-$128K (Glassdoor Est.),"*CURRENT EMPLOYEES :
Please click here to be redirected to the internal career site.
Job Description
At Nextracker, we are leading in the energy transition, providing the most comprehensive portfolio of intelligent solar tracker and control software solutions for solar power plants, as well as strategic services to capture the full value of solar power plants for our customers. Our talented worldwide teams are transforming PV plant performance every day with smart technology, data monitoring and analysis services.


As a company driving the clean energy transition, sustainability is not just a word. It's a core part of our business and our operations. Our sustainability efforts are based on five cornerstones: People, Community, Environment, Innovation, and Integrity. We are creative, collaborative and passionate problem-solvers from diverse backgrounds, driven by our shared mission to provide smart solar and software solutions for our customers and to mitigate climate change for future generations. Make your mark with Nextracker.

NEXTracker is seeking a ML Engineer/ Data Scientist.He or She will work within the NEXTracker Asset Management and Support team and be responsible for gleaning insights from data collected from the world’s largest installed base of solar array single-axis trackers. The position will be located in our Fremont, CA office.

We are looking for someone who demonstrates:
Intense collaboration
Passionate customer focus
Thoughtful, fast, disciplined execution
Tenacious commitment to continuous improvement
Relentless drive to win
Here is a glimpse of what you’ll do:
Design and develop large scale distributed ML pipelines on cloud.
Take end to end ownership of Machine Learning systems - from data pipelines and training, to real-time prediction engines.
Thrive in a fast-paced environment with a quick cadence of research, experimentation, and product launches.
Create visualizations and presentations for a wide range of technical and non-technical audiences.
Develop tools to create daily monitoring reports on product health and product performance.
Here is some of what you’ll need (required):
MS or PhD degree in a quantitative discipline (e.g., statistics, computer science, mathematics).
3+ years of relevant work experience in Machine Learning, building data science-driven solutions including data collection, feature selection, model training, post-deployment validation.
Excellent understanding of machine learning techniques and algorithms, including Supervised (Regression, Classification) and Unsupervised ML algorithms (clustering, anomaly detection), optimization, neural networks
Excellent applied statistics skills, such as distributions, statistical testing, regression analysis.
Excellent hands-on coding skills (preferably in Python) processing large-scale data set and using ML/statistical modeling tools such as Numpy, ScikitLearn
Intermediate MS Excel experience (Data Analysis, Pivot Tables, Formulas).
Experience in pattern recognition methodologies
Experience translating analysis results into business recommendations.
Excellent verbal and written communication skills
#LI-LD1
LD50

Here are a few of our preferred experiences:
Programming experience in SQL, NOSQL and PowerBI, Tableu is a plus.
MATLAB
Here are a few examples of what you’ll get for the great work you provide:
Full range of medical benefits, dental, vision
Life Insurance
Matching 401K
PTO
Tuition Reimbursement
Employee discounts at local retailers
Job Category
Design, Process & Technology Engineering

Relocation

Eligible for domestic relocation only
Is Sponsorship Available?
No

Flex does not accept unsolicited resumes from headhunters, recruitment agencies or fee based recruitment services. Flex is an Equal Opportunity Employer and employment selection decisions are based on merit, qualifications, and abilities. Flex does not discriminate in employment opportunities or practices based on: age, race, religion, color, sex, national origin, marital status, sexual orientation, gender identity, veteran status, disability, pregnancy status or any other status protected by law. Flex provides reasonable accommodation so that qualified applicants with a disability may participate in the selection process. Please advise us of any accommodations you request to express interest in a position by e-mailing: accessibility@flex.com. Please state your request for assistance in your message. Only reasonable accommodation requests related to applying for a specific position within Flex will be reviewed at the e-mail address. Flex will contact you if it is determined that your background is a match to the required skills required for this position. Thank you for considering a career with Flex.

The information we collect:

We may collect personal information that you choose to submit to us through the Website or otherwise provide to us. This may include your contact details; information provided in online questionnaires, feedback forms, or applications for employment; and information you provide such as CV/Resume. Your details will be provided to the entity you are applying for a job with. We will use your information for legitimate business purposes such as responding to comments or queries or answering questions; progressing applications for employment; allowing you to choose to share web content with others or; where you represent one of our customers or suppliers, administering the business relationship with that customer or supplier. We will process your data in accordance with our Recruitment Privacy Notice.

If you have any queries about the processing of your data, please contact:

Global Data Privacy Officer:

Email Address: chiefprivacyofficer@flex.com",3.8,"Flex
3.8","Fremont, CA",-1,10000+ Employees,1969,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),-1,79,128,103.5,Flex,Fremont,51,1,0,0,0,1,0
Data Scientist,$90K-$146K (Glassdoor Est.),"Engineering at Postmates

We're building groundbreaking tech solutions that power our revolutionary logistics platform to help connect millions of customers with their favorite merchants every day. We're tackling some of the most complex technical challenges in the modern logistics space to unlock opportunities that positively impact the local businesses and communities we serve.

WHAT WE DO


Postmates relies heavily on our engineering team to realize this vision. Building a software platform that is reliable, scales, and stays agile under demanding product needs is a serious technical challenge. Postmates is a three-part balancing act connecting customers, merchants, and couriers in real-time. If any piece is out of whack, the whole system suffers. Working with the Postmates engineering team offers an opportunity with explosive growth, cutting-edge technology, a highly visible charter, and a cool user-focused product vision.

As a Data Scientist, you'll use your full toolkit - statistical modeling, machine learning, data mining, data visualization, and software engineering - to develop data products and models that are used by millions of users and power the growth of our business. You will collaborate with a strong team of engineers, product managers and data analysts in defining the frontier of data products and models in the three-sided marketplace. Data scientists will work on how to formulate a model from a real business problem, determine evaluation metrics, evaluate different modeling approaches, conduct data analysis, and build features and algorithms for the various challenging problems at Postmates.

YOUR RESPONSIBILITIES
Modeling and forecasting demand and supply to enable more intelligent matching, optimize the overall marketplace efficiency and provide valuable insights to our merchants and Postmates
Large scale Machine Learning algorithms that powers our Search Ranking models and Personalized Recommendation Engine
Predicting the Postmates Delivery Time (PDT) and improving the dispatching algorithm
Determining the optimal pricing strategies to help our Postmates maximize their revenue
Identifying suspicious transactions and malicious users for risk control
Natural Language Processing to understand text content on Postmates platform, including named entity resolution and recognization of reviews, descriptions and interactions between users on our marketplace
OUR REQUIREMENTS
A Bachelor's/Master's degree (or higher) in a technical field (Computer Science, Statistics, Economics, Operations Research, Math, Physics, Engineering, etc.) or equivalent work experience required.
minimum of 3+ years of professional experience in Data Science or Applied Machine Learning required
A deep theoretical understanding of modern machine learning algorithms, statistical models, or optimization
Extensive experience with data tools, Python (Pandas, Scipy, Numpy, Scikit-Learn, etc), R, SAS, SQL, etc and strong skills in data analysis, data visualization, and feature engineering
Ability to own your modeling work from model development all the way to production deployment and beyond with minimal help from engineers
Strong communication skills; Explaining complex technical concepts to product managers, data analysts, and other engineers shouldn't be a problem for you
OUR PREFERRED QUALIFICATIONS
Experience with MapReduce, Spark, Hive, HBase, Google BigQuery, and BigTable
Experience with ML frameworks like Tensorflow, PyTorch, Spark MLlib, XGBoost, and Scikit-Learn
A bit about us

Postmates is changing delivery for good. While you may know us as the clever brand loved by celebrities and millennials, we are so much more. We are industry-first leaders in the modern logistics space, creating groundbreaking tech products that positively impact millions of customers, merchants and gig-economy workers as well as the underserved in the communities where we work. How will you help us change delivery for good?

Benefits

Postmates has your back. In our impact-first work environment, we value huge company vision. As you strive to build the future with us, we'll support you with a competitive rates and equity plan, along with access to our 401k plan and robust benefits including: health benefits, flexible paid time off, parental benefits, and food perks.

Postmates is proud to be an equal employment opportunity and affirmative action employer. Qualified applicants at Postmates are considered without regards to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, gender identity, or sexual orientation.",3.4,"Postmates
3.4","San Francisco, CA",-1,1001 to 5000 Employees,2011,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,-1,90,146,118.0,Postmates,San Francisco,9,1,0,1,0,0,0
"Senior Data Scientist (San Francisco, CA)",$108K-$170K (Glassdoor Est.),"Earnest empowers people with the financial capital they need to live better lives.

We're an accomplished team of technology, finance, and design geeks who believe consumer lending can be radically improved and are doing something about it. We are disrupting the trillion dollar student loan industry by redefining what it means to be creditworthy. We created a company that combines data science, streamlined design, and technology to:
Build products that simplify the lending process.
Personalize loans to suit the needs of our customers.
Engage with our customers through more human experiences.
Our culture is one that values transparency and blameless problem solving. Earnest has a strong track record of employee growth and career progression. Earnies are empathetic, product-focused, proactive, and curious.

As the Senior Data Scientist, you will report to the Head of Analytics and:
Prototype machine learning models that encapsulate best practices around feature engineering, model selection, and model validation.
Write code in common machine learning frameworks (Scikit-learn, Tensorflow, Pytorch).
Write ETL pipelines that would transform Earnest data into consumable insights and intelligence.
Present impact of models and analyses to executive stakeholders.
Improve existing models by identifying defects and proposing changes to model methodologies.
Ideal background and expertise:
5+ years developing traditional data science models
2+ years experience building production-ready machine learning models and systems
3+ years in Python and SQL
Master's degree in Computer Science, Statistics, Engineering, or a related field
Earnest Perks & Benefits:
Health, Dental, & Vision benefits plus savings plans
Employee Stock Purchase Plan
401(k) plan to help you save for retirement plus a company match
Tuition reimbursement program
$1000 flight on each Earnie-versary to anywhere in the world and 25 days of annual PTO
Great culture with an awesome team
Earnest provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. Qualified applicants with criminal histories will be considered for the position in a manner consistent with the Fair Chance Ordinance.

#LI-ES1",3.8,"Earnest
3.8","San Francisco, CA",-1,51 to 200 Employees,2013,Subsidiary or Business Segment,Lending,Finance,Unknown / Non-Applicable,-1,108,170,139.0,Earnest,San Francisco,7,1,0,0,0,0,0
Lead Data Scientist,$130K-$205K (Glassdoor Est.),"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 286 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.

Job Description Summary: • Develop and validate advanced predictive models using advanced data mining and machine learning techniques. • Collaborate with other data scientists and engineers to formulate innovative solutions to experiment and implement advanced data mining techniques • Work with large volumes of data; extract and manipulate large datasets using standard tools such as Python, Hadoop, R, SQL • Analyze data covering a wide range of information from user profile to transaction history. Identify new risk patterns through data mining • Communicate complex concepts and the results of the analyses in a clear and effective manner through creative visualization • Coach and mentor junior data scientists

Job Description:

MS in a science or engineering field with 4+ years of relevant professional experience. Ph.D. degree preferred
Have a passion for working on big data and professional experience in data mining, statistical analysis, predictive modeling and data manipulation.
Strong Unix background and programming experience in C/C++, or Java, and skills in scripting languages such as Perl or Python. Familiar with various Machine Learning algorithms and Statistical methods
Strong problem solving skills and communication skills
SQL and Hadoop / Other Big Data skills preferred
A strong plus for candidate with credit risk or financial services experiences

We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.

PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities.",4.0,"PayPal
4.0","San Jose, CA",-1,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),-1,130,205,167.5,PayPal,San Jose,22,1,0,0,0,0,0
Senior Data Scientist,$140K-$225K (Glassdoor Est.),"Formation provides personalization for the largest enterprise businesses in the world. We work with high-volume data streams and apply Data Science to bring individualized multi-step promotions to customers. Our Data Science Team is transforming the relationships between Fortune 500 companies and their customers.

You'll work in small teams with a common goal: create excellent data science solutions anchored in a culture of quality, customer focus, and growth.

As a Senior Data Scientist at Formation you will work in an agile environment to prioritize and test hypotheses using principles of rigorous experimental design. You understand that Data Science is an expansive area and no line of code is written until you have clearly defined the problem, methods, and definition of done. Your guidance on causal inference, machine learning techniques, and work prioritization will be sought by other team members. You will contribute to process documentation, and methodology design and review. You will create platform architecture specifications as you work with Engineering and Product Management to integrate Data Science processes into the product platform.

You understand that bugs, inadequate processes, and less than ideal code are part of building a startup. You welcome the challenge of solving these kind of problems while building a great product with the Data Science team.
You will report to the Manager of Data Science.
Key Responsibilities:
Work with Solution Architects and Customer Success to determine how to best apply Formation's product to client use cases
Explore and understand unfamiliar data-sets with tools such as Apache Spark and AWS Athena
Determine metrics and conduct power analysis to determine the feasibility and design of experiments
Implement processing pipelines to clean and process source data
Present experimental methodology and results to Fortune 500 clients
Work with Engineering and Product to standardize and integrate DS workflows into Formation's product
Provide mentorship and prioritization of DS work to junior Data Scientists
Skills and Experience:
Minimum 5 years experience as a Data Scientist, or 3 years experience as a Data Scientist at a startup
Proficient with the Python scientific ecosystem, Apache Spark, and SQL
Have foundational software engineering skills such as bash scripting, version control, and continuous integration
Have worked with job schedulers such as Apache Airflow
Knowledge of experimental design and analysis of results
Understand common concepts related to e-commerce, e.g. lifetime value, net incremental revenue, and churn
Machine learning proficiency with a focus on recommender systems and supervised learning techniques
Experience with optimization techniques such as constrained linear optimization and contextual bandits
Experience in customer onboarding and long-term customer engagement
Experience participating in talent screening and interviewing
About Formation:

Formation distills complex customer data into uniquely tailored experiences; we orchestrate physical and digital exchanges into one seamless journey. Our business is building lasting, trusted relationships between people and brands—and making it look easy.

We're already reaching millions of people a day, and we're just getting started. Our founding leadership is equal parts business, design, and engineering—because we believe differing perspectives + passionate discourse achieve the greatest outcomes. We give our whole selves. We love learning new things.

Formation is committed to inclusion and diversity and is an equal opportunity employer. You will receive consideration without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, disability, or veteran status.

If you're up for the challenge of a lifetime, we're looking for outstanding talent to join our team.

Benefits:
Among our many benefits:
- 100% medical, dental, and vision
- Discretionary PTO policy in addition to 11 paid holidays per year
- 401K
- Commuter Benefit",2.9,"Formation
2.9","San Francisco, CA",-1,51 to 200 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,140,225,182.5,Formation,San Francisco,5,1,0,1,1,1,0
"Data Scientist II, Product Analytics",$145K-$163K (Glassdoor Est.),"The Opportunity


At Livongo, data is at the heart of our culture of innovation. We're looking for a Data Science analytics team member to collaborate with Product Management and Marketing as we work toward optimizing our UX and messaging.

As a Data Scientist, Product Analytics your main focus will be to measure member experience and guide product decisions, ultimately making Livongo's products more valuable, delightful and intuitive to our Members. We're looking for someone with at least 2 years of experience in Data Analytics. In addition to technical data science skills, core competencies such as collaboration, decision-making, communication and flexibility will be key to your success.

This role offers the challenge and excitement of converting data analysis into real-life benefits. Come help us break new ground, while measurably improving lives and saving millions in healthcare costs.

Responsibilities
Provide insights about our products and member experience to inform Product teams for roadmap and feature decisions
Conduct exploratory analysis and develop statistical models to answer key product usage and engagement questions
Help Product and Marketing teams use experimentation (A/B testing) and cohorting to test assumptions and launch new marketing campaigns, features and product releases
Partner with Product teams to define and benchmark metrics for new features launches and initiatives and help create a culture of measurement
Candidate Profile
2+ years of work experience in product/data analytics or a related discipline
Data science experience (SQL, Python, R) and familiarity with managing large data sets
A general knowledge of machine learning approaches is a plus.
The ability to collaborate and communicate with Product Managers and help them craft hypotheses, and define and measure KPIs
Confidence working with ambiguity, unknown variables, and missing context (and the ability to find ways to bridge those gaps when necessary)
A self-starter approach, with strong motivation and drive for excellence
BS degree in Engineering, Computer Science or a related filed in lieu of degree, relevant work experience and/or trade school
Why Join Livongo?


The Transformative Name in Healthcare: The transformative industry forces in Community, Content and Commerce are now household names. As Amazon is to Commerce, Livongo is to Healthcare. With our Applied Health Signals engine, AI+AI, we've transformed how care is delivered.

Our Work Truly Matters: Livongo's proprietary, consumer-first technology is revolutionizing the experience of living with a chronic health condition. Our data-driven digital health engine enables our Members to seamlessly manage multiple health conditions on one empowering platform. We use smart, connected devices, personalized digital guidance, and 24x7x365 access to health professionals to make it easier for people to stay healthier.

Make an Impact: Do you want to accomplish something meaningful? To create results that matter? Livongo's innovative solution produces industry-leading member satisfaction, measurable clinical outcomes and proven healthcare costs savings. Here you can truly improve lives.

The Largest Digital Health IPO in History: We are at a milestone period in our history. On July 25, 2019 we took our company public, in order to elevate and expand the way the industry views us, thus ushering us into a whole new set of mission-critical conversations that will help us accomplish the work still to be done. As we reach new levels of achievement, we accelerate our ability to deliver life-changing services.

Focus on PEOPLE: Livongo has been voted one of the Best Places to Work in healthcare, by Fortune Magazine and Best Place to Work! Talented, passionate individuals make the difference, in this fast-moving, collaborative and inspiring environment.

Diversity and Inclusion: At Livongo we believe that personal and professional diversity is the key to innovation. We hire based solely on your strengths and qualifications, and the way in which those strengths can directly contribute to your success in your new position.

Growth and Innovation: We've already made healthcare history, yet we remain on the threshold of very big things. Leading the industry with our Applied Health Signals category, we have cracked the code to transforming healthcare. Come grow with us and support our mission to make a tangible difference in the lives of our Members.

See photos, watch videos and learn more about Livongo: follow us on Glassdoor.

#LivongoIPO #appliedhealthsignals

As an Equal Opportunity Employer, we never have and never will discriminate against any job candidate or employee due to age, race, religion, color, ethnicity, national origin, gender, gender identity/expression, sexual orientation, membership in an employee organization, medical condition, family history, genetic information, veteran status, marital status, parental status or pregnancy (including breastfeeding we have a mother's room in both our offices). In our innovative and inclusive workplace, we prohibit discrimination and harassment of any kind.",4.8,"Livongo
4.8","Mountain View, CA",-1,501 to 1000 Employees,2014,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,145,163,154.0,Livongo,Mountain View,6,1,0,0,0,1,0
Data Scientist,$100K-$161K (Glassdoor Est.),"Grammarly is continuing to grow our team during the COVID-19 pandemic, conducting fully remote hiring and onboarding processes. All Grammarly team members can work remotely until August 2021. Read more about how we're supporting our team and communities.

The opportunity


Grammarly empowers people to thrive and connect, whenever and wherever they communicate. 30 million people around the world use our AI-powered writing assistant every day. All of this begins with our team collaborating in a values-driven and learning-oriented environment.

We're looking for a Data Scientist to help us drive decision-making, find bigger opportunities, and improve our product. As a consumer internet company, we produce huge amounts of data, and in this role, you will have outsize opportunities to develop the insights to make it actionable. You will have broad impact and exposure across Grammarly, working with team members from our Product, Research, Marketing, Engineering, and Finance teams.

Grammarly's engineers and researchers have the freedom to innovate and uncover breakthroughs—and, in turn, influence our product roadmap. The complexity of our technical challenges is growing rapidly as we scale our interfaces, algorithms, and infrastructure. Read more about our stack or hear from our team on our technical blog.

Your impact


As a Data Scientist at Grammarly, you will help our team make better decisions by advocating for data-driven approaches across the organization. Your analysis will contribute to our strategy across the business in areas such as user acquisition, engagement, retention, and more.
Within your first month, you will start developing a good understanding of the overall data-processing pipeline, understand a subset of Grammarly's key metrics, and complete at least two small data reports to present to relevant business owners.
By month three, you will become an expert user of our analytical tools, start contributing to the Data Science team's projects, understand all of Grammarly's key metrics, and independently work on small-to-medium-complexity data projects (including A/B tests, channel analysis, and user engagement).
By month six, you will start working independently on complex data projects, such as user segmentation, short- and long-term user-engagement analysis, and lifetime value projections.
By year one, you will become the go-to person and subject-matter expert for a few of Grammarly's key metrics, own and drive projects independently with minimal supervision, and along with our other Data Scientists, ensure ""data science excellence"" at Grammarly (dashboards, high-quality reports, empowered teams, etc.).
We're looking for someone who
Embodies our EAGER values—is ethical, adaptable, gritty, empathetic, and remarkable.
Holds a PhD in a quantitative field or a masters in a quantitative field and has at least 3 years of experience working as a data scientist.
Has experience in data analysis, A/B testing, retention tracking, etc. (consumer product experience is preferred).
Is proficient in data mining and statistics.
Has experience with SQL as well as experience programming in Python, R, Scala, or an equivalent language.
Has strong analytical and critical thinking skills as well as a strong bias toward actionable insights; loves finding insights and getting others to act on them.
Is a self-starter with superior organizational and prioritization skills.
Support for you, professionally and personally
Professional growth: We hire people we trust, and we give team members autonomy to do their best work. We also support professional development with training, coaching, and regular feedback.
A connected team: Grammarly builds products that help people connect, and we apply this mindset to our own team. We have a highly collaborative culture supported by our EAGER values. We also take time to celebrate our colleagues and accomplishments with global, local, and team-specific events and programs.
Comprehensive benefits: Grammarly offers all team members competitive pay along with a benefits package that includes superior health care. We also offer ample and defined time off, catered lunches, gym and recreation stipends, admission discounts, and more.
We encourage you to apply


At Grammarly, we value our differences, and we encourage all—especially those whose identities are traditionally underrepresented in tech organizations—to apply. We do not discriminate on the basis of race, religion, color, gender expression or identity, sexual orientation, national origin, citizenship, age, marital status, veteran status, disability status, or any other characteristic protected by law. Grammarly will consider qualified applicants with criminal histories in a manner consistent with the San Francisco Fair Chance Ordinance. Grammarly is an equal opportunity employer and participant in the U.S. Federal E-Verify program.",4.9,"Grammarly
4.9","San Francisco, CA",-1,201 to 500 Employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,100,161,130.5,Grammarly,San Francisco,11,1,0,0,0,1,0
Sr. Data Scientist,$77K-$124K (Glassdoor Est.),"SENIOR DATA SCIENTIST- Temporary Assignment (Remote)

Description:

The senior data scientist will be part of Rubicon’s Data Science team and will be responsible for designing, prototyping, deploying and testing machine learning, computer vision based and deep learning models. This role will also support the translation of big data into internal and external dashboards& reports to drive company and partner performance. This role will play an integral part in building Rubicon’s competitive advantage through leveraging data for unique customer and vendor insights.

Key Responsibilities:
Design, implement, test, prototype, and deploy ML (machine learning), Computer Vision, DP (deep learning), and AI (artificial intelligence) applications from unstructured and structured data assets
Dive into large, complex real-world datasets and produce innovative analysis and predictive models
Conduct statistical analysis of big data to develop insights from the measured performance metrics, and contribute to root cause analysis and resolution of identified performance gaps
Propose and prioritize changes to reporting and create additional metrics and processes based on program changes and customer requirements
Support efforts to ensure data integrity across all platforms and departments
Contribute to idea generation for additional process improvements and automation
Provide guidance to data scientist team in developing new and improved analytics systems, all the way from prototyping to production
Work closely with the rest of the Rubicon team to create ad-hoc reports to support timely business decisions and project work
Preferred Experience/Qualifications:
Bachelors or Master’s degree in Data Science, Mathematics, Computer Sciences, Engineering or a related field; 3 years of experience with model building as a data scientist.
Solid programming skills with Python
Knowledge and in-depth understanding of machine learning and related open source libraries such as Scikit-Learn; data manipulation libraries such as Numpy, Pandas; and deep learning libraries such as TensorFlow
Proficient with Python related computer vision and image processing libraries such as OpenCV
Proficient SQL skills; ideally with experience in Microsoft SQL server, MYSQL, PostgreSQL, Microsoft Access, R, SPSS and PowerBI (or any business intelligence tools)
A basic understanding of AWS cloud service products such as Lamda, Elastic Search, EC2, S3 etc. is a plus
Ability to work effectively with IT and internal customers to mine the right data sources efficiently and accurately
Proven statistical skills and an ability to use hard data and metrics to back up assumptions, develop business cases, and complete root cause analyses
A clear passion for learning new business analysis techniques independently and continuously
Understanding of BI best practices/methodologies, relational database management concepts, dimensional data modeling, data warehouse concepts and reporting techniques
Ability to work directly with end users to ensure results meet their needs
Strong interpersonal skills, capable of writing recommendations and interacting with company personnel on complex topics
Ability to present clear, concise reporting on concurrent projects and issues
Effective verbal and written communication skills


About Rubicon Global

Rubicon Global is a technology company that provides waste, recycling, and smart city solutions to businesses and governments worldwide. It develops and deploys a full suite of cloud-based solutions to help its customers and network of independent waste haulers work towards more sustainable waste and recycling practices, uncover cost savings, and improve operations through data analytics. Using its proprietary technology platform, Rubicon helps its partners find economic value in their waste streams and confidently execute on their sustainability goals, always with an eye towards those solutions that have long-term economic viability. The company has over 1,000,000 service locations worldwide, is headquartered in Atlanta, GA, and has core teams in New York City and San Francisco. Rubicon is a Certified B Corporation and was named a Great Place to Work™ in 2018. Learn more atwww.RubiconGlobal.com.

Rubicon Global is a Certified B Corp and an Equal Employment Opportunity/Affirmative Action Employer. We also maintain a Drug-Free Workplace.",3.9,"Rubicon
3.9","San Francisco, CA",-1,201 to 500 Employees,2008,Company - Private,Building & Personnel Services,Business Services,$500 million to $1 billion (USD),-1,77,124,100.5,Rubicon,San Francisco,12,1,0,0,1,0,0
Data Scientist,$112K-$133K (Glassdoor Est.),"Entefy’s Senior Data Scientist is a highly visible position both internally and externally. Join the intelligence revolution, where we can push the state-of-the-art boundaries of data science. This is where deep experience and multi-dimensional insights intersect with an amazing opportunity to shape the future of productivity for people everywhere.

Skills and Experience:

We’re not looking for “good.” Entefy is on a mission to find exceptional talent. The success of our mission depends on our team’s ability to be creatively analytical, insatiably curious, and absolutely fearless in tackling big challenges.
Requirements
Master's degree in Computer Science, Mathematics, Statistics, Engineering, or a compatible field. PhD is preferred.
3+ years of applicable work experience.
Demonstrable proficiency in Python, Scala, SQL, or R.
Strong data visualization and reporting skills.
Proven track record delivering high-value, advanced analytics.
Experience leading the work of other data scientists or analysts is preferred.
World-class ability to extract and communicate insights from real-world datasets.
Startup agility and versatility.
Visit www.entefy.com and www.blog.entefy.com.",4.3,"Entefy
4.3","Palo Alto, CA",-1,1 to 50 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,112,133,122.5,Entefy,Palo Alto,8,1,0,0,0,0,0
"Data Scientist, Analytics",$119K-$191K (Glassdoor Est.),"About the team:


The Evernote Analytics team is responsible for providing data insights that inform and influence our product and business decisions. We are looking for data scientists who are passionate about using data to solve interesting or challenging problems, to shape the future of what we build at Evernote. The ideal candidate will have a background in a quantitative or technical field, will have experience working with complex data sets, and will have experience in data-driven decision making. You are intellectually curious, focused on results, and have demonstrated success in using analytics to drive the understanding, development, and success of product or marketing initiatives.

What you will do:
Apply your expertise in quantitative analysis, data mining, and data visualization to see beyond the numbers, understand how our users interact and engage with Evernote, and draw actionable insights
Partner closely with product, engineering and marketing teams to solve problems and identify trends and opportunities
Lead the definition of product and business success metrics, collaborate with working teams to ensure correct data tracking instrumentation for measurement
Build reports and dashboards to monitor KPIs (Key Performance Indicators), understand drivers of KPI changes
Help set up experiments, analyze and interpret results
Effectively communicate insights and recommendations to stakeholders
Design and implement predictive models to improve engagement, conversion, and retention
Lead ongoing decisions concerning data collection, test/study design and data analyses
What you have done:


Bachelors or Masters in Computer Science, Statistics, Math, Finance, or other quantitative field
3+ years experience doing quantitative analysis
Experience in querying and manipulating large data sets using data querying languages (e.g. SQL), scripting languages (e.g. Python), or statistical/mathematical software (e.g. R, SAS, Matlab)
Experience with designing and deploying compelling dashboards using business intelligence tools (e.g. Tableau)
Knowledge in applied statistics (e.g. hypothesis testing, regressions, predictive modelings) or experimentation (e.g. A/B testing) in an industry setting
Ability to translate complex data into actionable insights for a non-technical audience
Who you are:
Strong problem solving and analytical skills
Driven self-starter with good attention to detail
Willingness to learn new technologies, tools and approaches to problem solving
Excellent communication and presentation skills
Experience working within the tech sector preferred
We are committed to an inclusive and diverse Evernote. We believe that different perspectives lead to better ideas, and better ideas allow us to better understand the needs and interests of our diverse, global Evernote Community. We welcome people of different backgrounds, experiences, abilities and perspectives and are an equal opportunity employer.

California privacy notice: Read our privacy policy for job applicants here",4.2,"Evernote
4.2","Redwood City, CA",-1,201 to 500 Employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),-1,119,191,155.0,Evernote,Redwood City,12,1,0,0,0,1,1
